,Origin Movement ID,Origin Display Name,Destination Movement ID,Destination Display Name,Baseline Date Range,Baseline Mean Travel Time (Seconds),Baseline Range - Lower Bound Travel Time (Seconds),Baseline Range - Upper Bound Travel Time (Seconds),Comparison Date Range,Comparison Mean Travel Time (Seconds),Comparison Range - Lower Bound Travel Time (Seconds),Comparison Range - Upper Bound Travel Time (Seconds),Mean Difference,Percent Difference,Baseline Mean Travel Time (Minutes),Comparison Mean Travel Time (Minutes),Base Start,Base End,Comparison Start,Comparison End
20,1277,"300 Hayes Street, Civic Center, San Francisco",151,"500 20th Street, Downtown Oakland, Oakland",3/22/2020 - 3/29/2020,954,842,1080,3/1/2020 - 3/8/2020,1190,934,1515,-236,-19.83,15.9,19.83,3/22/2020 , 3/29/2020,3/1/2020 , 3/8/2020
21,1277,"300 Hayes Street, Civic Center, San Francisco",155,"400 North Mary Avenue, Sunnyvale West, Sunnyvale",3/22/2020 - 3/29/2020,2223,2033,2429,3/1/2020 - 3/8/2020,2844,2209,3660,-621,-21.84,37.05,47.4,3/22/2020 , 3/29/2020,3/1/2020 , 3/8/2020
22,1277,"300 Hayes Street, Civic Center, San Francisco",165,"2200 Franklin Street, Pacific Heights, San Francisco",3/22/2020 - 3/29/2020,201,153,262,3/1/2020 - 3/8/2020,293,198,433,-92,-31.4,3.35,4.88,3/22/2020 , 3/29/2020,3/1/2020 , 3/8/2020
23,1277,"300 Hayes Street, Civic Center, San Francisco",181,"3400 Richmond Boulevard, Oakland Ave - Harrison St, Oakland",3/22/2020 - 3/29/2020,824,703,964,3/1/2020 - 3/8/2020,1128,815,1560,-304,-26.95,13.73,18.8,3/22/2020 , 3/29/2020,3/1/2020 , 3/8/2020
24,1277,"300 Hayes Street, Civic Center, San Francisco",186,"1800 Vicente Street, Sunset District, San Francisco",3/22/2020 - 3/29/2020,1058,851,1315,3/1/2020 - 3/8/2020,1276,992,1641,-218,-17.08,17.63,21.27,3/22/2020 , 3/29/2020,3/1/2020 , 3/8/2020
25,1277,"300 Hayes Street, Civic Center, San Francisco",206,"1300 15th Street, Mission District, San Francisco",3/22/2020 - 3/29/2020,191,126,287,3/1/2020 - 3/8/2020,283,179,446,-92,-32.51,3.18,4.72,3/22/2020 , 3/29/2020,3/1/2020 , 3/8/2020
26,1277,"300 Hayes Street, Civic Center, San Francisco",207,"1100 Guerrero Street, Mission District, San Francisco",3/22/2020 - 3/29/2020,484,367,637,3/1/2020 - 3/8/2020,633,481,832,-149,-23.54,8.07,10.55,3/22/2020 , 3/29/2020,3/1/2020 , 3/8/2020
27,1277,"300 Hayes Street, Civic Center, San Francisco",208,"600 Alabama Street, Mission District, San Francisco",3/22/2020 - 3/29/2020,359,266,484,3/1/2020 - 3/8/2020,467,341,638,-108,-23.13,5.98,7.78,3/22/2020 , 3/29/2020,3/1/2020 , 3/8/2020
28,1277,"300 Hayes Street, Civic Center, San Francisco",209,"300 Wilde Avenue, Visitacion Valley, San Francisco",3/22/2020 - 3/29/2020,453,350,585,3/1/2020 - 3/8/2020,585,419,815,-132,-22.56,7.55,9.75,3/22/2020 , 3/29/2020,3/1/2020 , 3/8/2020
29,1277,"300 Hayes Street, Civic Center, San Francisco",210,"100 Ramsell Street, Oceanview, San Francisco",3/22/2020 - 3/29/2020,633,500,801,3/1/2020 - 3/8/2020,868,621,1213,-235,-27.07,10.55,14.47,3/22/2020 , 3/29/2020,3/1/2020 , 3/8/2020
30,1277,"300 Hayes Street, Civic Center, San Francisco",211,"200 16th Avenue, Richmond District, San Francisco",3/22/2020 - 3/29/2020,710,479,1051,3/1/2020 - 3/8/2020,885,669,1170,-175,-19.77,11.83,14.75,3/22/2020 , 3/29/2020,3/1/2020 , 3/8/2020
31,1277,"300 Hayes Street, Civic Center, San Francisco",212,"500 Washington Street, Financial District, San Francisco",3/22/2020 - 3/29/2020,552,427,712,3/1/2020 - 3/8/2020,772,542,1098,-220,-28.5,9.2,12.87,3/22/2020 , 3/29/2020,3/1/2020 , 3/8/2020
32,1277,"300 Hayes Street, Civic Center, San Francisco",232,"1000 Beech Street, East Palo Alto",3/22/2020 - 3/29/2020,1852,1659,2067,3/1/2020 - 3/8/2020,2218,1761,2793,-366,-16.5,30.87,36.97,3/22/2020 , 3/29/2020,3/1/2020 , 3/8/2020
33,1277,"300 Hayes Street, Civic Center, San Francisco",234,"100 Domestic Terminals Departures Level, San Francisco",3/22/2020 - 3/29/2020,921,767,1104,3/1/2020 - 3/8/2020,1093,877,1361,-172,-15.74,15.35,18.22,3/22/2020 , 3/29/2020,3/1/2020 , 3/8/2020
34,1277,"300 Hayes Street, Civic Center, San Francisco",264,"300 Irwin Street, San Rafael",3/22/2020 - 3/29/2020,1351,1191,1532,3/1/2020 - 3/8/2020,1655,1355,2021,-304,-18.37,22.52,27.58,3/22/2020 , 3/29/2020,3/1/2020 , 3/8/2020
35,1277,"300 Hayes Street, Civic Center, San Francisco",285,"1600 Maritime Street, Oakland",3/22/2020 - 3/29/2020,653,520,819,3/1/2020 - 3/8/2020,897,631,1273,-244,-27.2,10.88,14.95,3/22/2020 , 3/29/2020,3/1/2020 , 3/8/2020
36,1277,"300 Hayes Street, Civic Center, San Francisco",286,"1000 10th Street, West Oakland, Oakland",3/22/2020 - 3/29/2020,820,681,987,3/1/2020 - 3/8/2020,1015,745,1381,-195,-19.21,13.67,16.92,3/22/2020 , 3/29/2020,3/1/2020 , 3/8/2020
37,1277,"300 Hayes Street, Civic Center, San Francisco",288,"14700 Wiley Street, Washington Manor - Bonaire, San Leandro",3/22/2020 - 3/29/2020,1837,1239,2723,3/1/2020 - 3/8/2020,1642,1290,2089,195,11.88,30.62,27.37,3/22/2020 , 3/29/2020,3/1/2020 , 3/8/2020
38,1277,"300 Hayes Street, Civic Center, San Francisco",299,"Chinatown / North Beach Campus, Russian Hill, San Francisco",3/22/2020 - 3/29/2020,439,345,557,3/1/2020 - 3/8/2020,629,464,852,-190,-30.21,7.32,10.48,3/22/2020 , 3/29/2020,3/1/2020 , 3/8/2020
39,1277,"300 Hayes Street, Civic Center, San Francisco",302,"0 Bass Court, Bayview, San Francisco",3/22/2020 - 3/29/2020,717,540,951,3/1/2020 - 3/8/2020,1014,719,1428,-297,-29.29,11.95,16.9,3/22/2020 , 3/29/2020,3/1/2020 , 3/8/2020
40,1277,"300 Hayes Street, Civic Center, San Francisco",303,"Bay Trail, Sunnyvale",3/22/2020 - 3/29/2020,2344,1886,2913,3/1/2020 - 3/8/2020,2718,2123,3478,-374,-13.76,39.07,45.3,3/22/2020 , 3/29/2020,3/1/2020 , 3/8/2020
41,1277,"300 Hayes Street, Civic Center, San Francisco",304,"500 Zook Road, Mountain View",3/22/2020 - 3/29/2020,2158,1923,2420,3/1/2020 - 3/8/2020,2591,2070,3242,-433,-16.71,35.97,43.18,3/22/2020 , 3/29/2020,3/1/2020 , 3/8/2020
42,1277,"300 Hayes Street, Civic Center, San Francisco",306,"200 Silverlake Drive, Lakewood, Sunnyvale",3/22/2020 - 3/29/2020,2283,2069,2518,3/1/2020 - 3/8/2020,2749,2196,3440,-466,-16.95,38.05,45.82,3/22/2020 , 3/29/2020,3/1/2020 , 3/8/2020
