,Origin Movement ID,Origin Display Name,Destination Movement ID,Destination Display Name,Date Range,Mean Travel Time (Seconds),Range - Lower Bound Travel Time (Seconds),Range - Upper Bound Travel Time (Seconds),Mean Travel Time (Minute)
0,1277,"300 Hayes Street, Civic Center, San Francisco",2,"400 Northumberland Avenue, Redwood Oaks, Redwood City",3/1/2020 - 3/8/2020,2080,1722,2511,34.67
1,1277,"300 Hayes Street, Civic Center, San Francisco",9,"500 Hyde Street, Tenderloin, San Francisco",3/1/2020 - 3/8/2020,342,222,525,5.7
2,1277,"300 Hayes Street, Civic Center, San Francisco",20,"900 Sutter Street, Lower Nob Hill, San Francisco",3/1/2020 - 3/8/2020,315,194,509,5.25
3,1277,"300 Hayes Street, Civic Center, San Francisco",21,"3400 Pierce Street, Marina District, San Francisco",3/1/2020 - 3/8/2020,623,458,845,10.38
4,1277,"300 Hayes Street, Civic Center, San Francisco",30,"2200 Central Avenue, Alameda",3/1/2020 - 3/8/2020,1515,1161,1975,25.25
5,1277,"300 Hayes Street, Civic Center, San Francisco",44,"1700 Egbert Avenue, Bayview, San Francisco",3/1/2020 - 3/8/2020,861,596,1243,14.35
6,1277,"300 Hayes Street, Civic Center, San Francisco",46,"500 Chester Street, West Oakland, Oakland",3/1/2020 - 3/8/2020,995,729,1356,16.58
7,1277,"300 Hayes Street, Civic Center, San Francisco",57,"1700 Bayo Vista Avenue, San Pablo",3/1/2020 - 3/8/2020,1635,1177,2270,27.25
8,1277,"300 Hayes Street, Civic Center, San Francisco",58,"5600 Genoa Street, Santa Fe, Oakland",3/1/2020 - 3/8/2020,1433,982,2089,23.88
9,1277,"300 Hayes Street, Civic Center, San Francisco",60,"33900 Emilia Lane, Ardenwood, Fremont",3/1/2020 - 3/8/2020,2472,1961,3115,41.2
10,1277,"300 Hayes Street, Civic Center, San Francisco",61,"5400 Ridgewood Drive, Ardenwood, Fremont",3/1/2020 - 3/8/2020,2414,2018,2886,40.23
11,1277,"300 Hayes Street, Civic Center, San Francisco",78,"1400 Thomas Avenue, Bayview, San Francisco",3/1/2020 - 3/8/2020,1016,716,1441,16.93
12,1277,"300 Hayes Street, Civic Center, San Francisco",79,"1500 California Street, Polk Gulch, San Francisco",3/1/2020 - 3/8/2020,360,226,571,6.0
13,1277,"300 Hayes Street, Civic Center, San Francisco",80,"0 Farren Street, Western Addition, San Francisco",3/1/2020 - 3/8/2020,353,247,503,5.88
14,1277,"300 Hayes Street, Civic Center, San Francisco",81,"0 Berkeley Way, Diamond Heights, San Francisco",3/1/2020 - 3/8/2020,961,762,1211,16.02
15,1277,"300 Hayes Street, Civic Center, San Francisco",82,"2700 25th Street, Mission District, San Francisco",3/1/2020 - 3/8/2020,418,284,614,6.97
16,1277,"300 Hayes Street, Civic Center, San Francisco",87,"2200 Wyandotte Street, Mountain View",3/1/2020 - 3/8/2020,2438,1927,3083,40.63
17,1277,"300 Hayes Street, Civic Center, San Francisco",90,"300 Heathcliff Drive, Westview, Pacifica",3/1/2020 - 3/8/2020,1287,982,1686,21.45
18,1277,"300 Hayes Street, Civic Center, San Francisco",91,"700 Industrial Road, San Carlos",3/1/2020 - 3/8/2020,1797,1398,2309,29.95
19,1277,"300 Hayes Street, Civic Center, San Francisco",96,"2200 Bonar Street, Poets Corner, Berkeley",3/1/2020 - 3/8/2020,1331,1027,1723,22.18
20,1277,"300 Hayes Street, Civic Center, San Francisco",98,"500 10th Street, Downtown Oakland, Oakland",3/1/2020 - 3/8/2020,1082,782,1495,18.03
21,1277,"300 Hayes Street, Civic Center, San Francisco",102,"500 Mount Street, East Richmond, Richmond",3/1/2020 - 3/8/2020,1545,1098,2172,25.75
22,1277,"300 Hayes Street, Civic Center, San Francisco",103,"35500 Ebro Court, Centerville, Fremont",3/1/2020 - 3/8/2020,2756,2107,3603,45.93
23,1277,"300 Hayes Street, Civic Center, San Francisco",104,"4300 Baine Avenue, Centerville, Fremont",3/1/2020 - 3/8/2020,2814,2096,3777,46.9
24,1277,"300 Hayes Street, Civic Center, San Francisco",108,"400 West Sunset Boulevard, Hayward",3/1/2020 - 3/8/2020,1934,1487,2514,32.23
25,1277,"300 Hayes Street, Civic Center, San Francisco",113,"1200 Hayes Street, Western Addition, San Francisco",3/1/2020 - 3/8/2020,194,124,302,3.23
26,1277,"300 Hayes Street, Civic Center, San Francisco",117,"100 Edgemar Street, Crocker, Daly City",3/1/2020 - 3/8/2020,1177,917,1510,19.62
27,1277,"300 Hayes Street, Civic Center, San Francisco",123,"20000 Merritt Drive, Cupertino",3/1/2020 - 3/8/2020,3111,2606,3713,51.85
28,1277,"300 Hayes Street, Civic Center, San Francisco",127,"2000 Waverley Street, Old Palo Alto, Palo Alto",3/1/2020 - 3/8/2020,2307,1948,2732,38.45
29,1277,"300 Hayes Street, Civic Center, San Francisco",138,"0 Maria Drive, Petaluma",3/1/2020 - 3/8/2020,2730,2490,2993,45.5
30,1277,"300 Hayes Street, Civic Center, San Francisco",151,"500 20th Street, Downtown Oakland, Oakland",3/1/2020 - 3/8/2020,1190,934,1515,19.83
31,1277,"300 Hayes Street, Civic Center, San Francisco",153,"400 Giannini Drive, Santa Clara",3/1/2020 - 3/8/2020,3230,2694,3871,53.83
32,1277,"300 Hayes Street, Civic Center, San Francisco",155,"400 North Mary Avenue, Sunnyvale West, Sunnyvale",3/1/2020 - 3/8/2020,2844,2209,3660,47.4
33,1277,"300 Hayes Street, Civic Center, San Francisco",165,"2200 Franklin Street, Pacific Heights, San Francisco",3/1/2020 - 3/8/2020,293,198,433,4.88
34,1277,"300 Hayes Street, Civic Center, San Francisco",176,"500 Hull Avenue, Central San Jose, San Jose",3/1/2020 - 3/8/2020,3480,2843,4259,58.0
35,1277,"300 Hayes Street, Civic Center, San Francisco",181,"3400 Richmond Boulevard, Oakland Ave - Harrison St, Oakland",3/1/2020 - 3/8/2020,1128,815,1560,18.8
36,1277,"300 Hayes Street, Civic Center, San Francisco",184,"0 South Almaden Boulevard, Central San Jose, San Jose",3/1/2020 - 3/8/2020,3469,2759,4360,57.82
37,1277,"300 Hayes Street, Civic Center, San Francisco",186,"1800 Vicente Street, Sunset District, San Francisco",3/1/2020 - 3/8/2020,1276,992,1641,21.27
