,Origin Movement ID,Origin Display Name,Destination Movement ID,Destination Display Name,Date Range,Mean Travel Time (Seconds),Range - Lower Bound Travel Time (Seconds),Range - Upper Bound Travel Time (Seconds),Mean Travel Time (Minute)
41,1277,"300 Hayes St, San Francisco, CA",304,"500 Zook Road, Mountain View",3/22/2020 - 3/29/2020,2158,1923,2420,35.97
42,1277,"300 Hayes St, San Francisco, CA",306,"200 Silverlake Drive, Lakewood, Sunnyvale",3/22/2020 - 3/29/2020,2283,2069,2518,38.05
43,1277,"300 Hayes St, San Francisco, CA",311,"200 Northgate Avenue, Westlake, Daly City",3/22/2020 - 3/29/2020,638,514,791,10.63
44,1277,"300 Hayes St, San Francisco, CA",314,"200 Alta Mesa Drive, Serra Highlands, South San Francisco",3/22/2020 - 3/29/2020,938,767,1146,15.63
45,1277,"300 Hayes St, San Francisco, CA",315,"900 Veterans Boulevard, Redwood City",3/22/2020 - 3/29/2020,1498,1384,1621,24.97
46,1277,"300 Hayes St, San Francisco, CA",321,"Nimitz Freeway, Downtown Oakland, Oakland",3/22/2020 - 3/29/2020,920,740,1143,15.33
47,1277,"300 Hayes St, San Francisco, CA",322,"300 Warwick Avenue, Adams Point, Oakland",3/22/2020 - 3/29/2020,852,727,997,14.2
48,1277,"300 Hayes St, San Francisco, CA",323,"900 Embarcadero West, West Oakland, Oakland",3/22/2020 - 3/29/2020,825,725,937,13.75
49,1277,"300 Hayes St, San Francisco, CA",328,"5000 Franklin Drive, Pleasanton",3/22/2020 - 3/29/2020,2122,1961,2295,35.37
50,1277,"300 Hayes St, San Francisco, CA",338,"100 Hinman Road, Redwood City",3/22/2020 - 3/29/2020,1551,1374,1749,25.85
51,1277,"300 Hayes St, San Francisco, CA",345,"400 Moffett Boulevard, Mountain View",3/22/2020 - 3/29/2020,2044,1885,2216,34.07
52,1277,"300 Hayes St, San Francisco, CA",347,"900 Sycamore Drive, Midtown, Palo Alto",3/22/2020 - 3/29/2020,1927,1780,2085,32.12
53,1277,"300 Hayes St, San Francisco, CA",385,"0 Valley View Road, Orinda",3/22/2020 - 3/29/2020,1174,1069,1288,19.57
54,1277,"300 Hayes St, San Francisco, CA",387,"2100 Manchester Road, San Leandro",3/22/2020 - 3/29/2020,1567,1461,1680,26.12
55,1277,"300 Hayes St, San Francisco, CA",388,"1700 Doolittle Drive, Davis Tract, San Leandro",3/22/2020 - 3/29/2020,1563,1127,2167,26.05
56,1277,"300 Hayes St, San Francisco, CA",389,"1000 Burkhart Avenue, Washington Manor - Bonaire, San Leandro",3/22/2020 - 3/29/2020,1919,1329,2770,31.98
57,1277,"300 Hayes St, San Francisco, CA",394,"3600 Page Street, Friendly Acres, Redwood City",3/22/2020 - 3/29/2020,1620,1516,1730,27.0
58,1277,"300 Hayes St, San Francisco, CA",408,"1800 Hillside Boulevard, Colma",3/22/2020 - 3/29/2020,898,797,1010,14.97
59,1277,"300 Hayes St, San Francisco, CA",409,"200 Nelson Avenue, Edgemar - Pacific Manor, Pacifica",3/22/2020 - 3/29/2020,821,767,878,13.68
60,1277,"300 Hayes St, San Francisco, CA",417,"4400 Bell Avenue, Eastshore, Richmond",3/22/2020 - 3/29/2020,1072,881,1303,17.87
61,1277,"300 Hayes St, San Francisco, CA",423,"200 Locust Avenue, San Rafael",3/22/2020 - 3/29/2020,1410,1287,1543,23.5
62,1277,"300 Hayes St, San Francisco, CA",433,"600 Vanessa Drive, Central San Mateo, San Mateo",3/22/2020 - 3/29/2020,1209,1081,1350,20.15
63,1277,"300 Hayes St, San Francisco, CA",434,"1300 Franklin Street, Western Addition, San Francisco",3/22/2020 - 3/29/2020,138,99,191,2.3
64,1277,"300 Hayes St, San Francisco, CA",443,"New Corona Heights Trail, The Castro, San Francisco",3/22/2020 - 3/29/2020,391,273,559,6.52
65,1277,"300 Hayes St, San Francisco, CA",445,"900 Divisadero Street, Western Addition, San Francisco",3/22/2020 - 3/29/2020,223,156,317,3.72
66,1277,"300 Hayes St, San Francisco, CA",447,"2600 Alvarado Street, Floresta Gardens - Bradrick, San Leandro",3/22/2020 - 3/29/2020,1682,1192,2372,28.03
67,1277,"300 Hayes St, San Francisco, CA",452,"1200 Green Street, Russian Hill, San Francisco",3/22/2020 - 3/29/2020,304,224,411,5.07
68,1277,"300 Hayes St, San Francisco, CA",457,"3100 West Street, Hoover - Foster, Oakland",3/22/2020 - 3/29/2020,764,636,917,12.73
69,1277,"300 Hayes St, San Francisco, CA",458,"900 Webster Street, Downtown Oakland, Oakland",3/22/2020 - 3/29/2020,894,716,1115,14.9
70,1277,"300 Hayes St, San Francisco, CA",463,"2000 Bancroft Way, Downtown Berkeley, Berkeley",3/22/2020 - 3/29/2020,1172,1054,1302,19.53
71,1277,"300 Hayes St, San Francisco, CA",464,"1600 Fairview Street, South Berkeley, Berkeley",3/22/2020 - 3/29/2020,1021,879,1184,17.02
72,1277,"300 Hayes St, San Francisco, CA",467,"16300 Helo Drive, San Leandro",3/22/2020 - 3/29/2020,1502,1390,1622,25.03
73,1277,"300 Hayes St, San Francisco, CA",475,"1500 Lacassie Avenue, Walnut Creek",3/22/2020 - 3/29/2020,1617,1446,1807,26.95
74,1277,"300 Hayes St, San Francisco, CA",477,"0 Tara Road, Northwood - Tara, Orinda",3/22/2020 - 3/29/2020,1182,1007,1386,19.7
75,1277,"300 Hayes St, San Francisco, CA",478,"100 Eagle Court, Birds, Hercules",3/22/2020 - 3/29/2020,1363,665,2791,22.72
76,1277,"300 Hayes St, San Francisco, CA",488,"0 Oak Gate Place, Pleasant Hill",3/22/2020 - 3/29/2020,1625,1517,1740,27.08
77,1277,"300 Hayes St, San Francisco, CA",495,"4200 Shelter Creek Lane, San Bruno",3/22/2020 - 3/29/2020,883,806,967,14.72
78,1277,"300 Hayes St, San Francisco, CA",528,"600 Lexington Way, Oak Grove Manor, Burlingame",3/22/2020 - 3/29/2020,1050,882,1249,17.5
79,1277,"300 Hayes St, San Francisco, CA",532,"200 Beach Street, North Beach, San Francisco",3/22/2020 - 3/29/2020,565,423,752,9.42
80,1277,"300 Hayes St, San Francisco, CA",533,"1400 Grant Avenue, North Beach, San Francisco",3/22/2020 - 3/29/2020,506,397,644,8.43
81,1277,"300 Hayes St, San Francisco, CA",534,"200 Walnut Street, Presidio Heights, San Francisco",3/22/2020 - 3/29/2020,467,277,785,7.78
82,1277,"300 Hayes St, San Francisco, CA",535,"0 Rossi Avenue, Richmond District, San Francisco",3/22/2020 - 3/29/2020,376,306,461,6.27
83,1277,"300 Hayes St, San Francisco, CA",536,"800 Franklin Street, Fillmore District, San Francisco",3/22/2020 - 3/29/2020,78,50,119,1.3
84,1277,"300 Hayes St, San Francisco, CA",537,"500 Webster Street, Western Addition, San Francisco",3/22/2020 - 3/29/2020,66,39,111,1.1
85,1277,"300 Hayes St, San Francisco, CA",541,"200 San Fernando Way, St. Francis, Daly City",3/22/2020 - 3/29/2020,726,592,889,12.1
86,1277,"300 Hayes St, San Francisco, CA",542,"2200 Kenry Way, Westborough, South San Francisco",3/22/2020 - 3/29/2020,1066,745,1525,17.77
87,1277,"300 Hayes St, San Francisco, CA",554,"200 2nd Street, Sunnyvale",3/22/2020 - 3/29/2020,2234,2030,2457,37.23
88,1277,"300 Hayes St, San Francisco, CA",555,"500 Aldo Avenue, Santa Clara",3/22/2020 - 3/29/2020,2358,2181,2549,39.3
89,1277,"300 Hayes St, San Francisco, CA",591,"2500 10th Avenue, Bella Vista, Oakland",3/22/2020 - 3/29/2020,943,807,1101,15.72
90,1277,"300 Hayes St, San Francisco, CA",595,"200 Ghormley Avenue, Brookfield Village, Oakland",3/22/2020 - 3/29/2020,1407,1052,1880,23.45
91,1277,"300 Hayes St, San Francisco, CA",597,"1600 Eighth Street, Northwest Berkeley, Berkeley",3/22/2020 - 3/29/2020,1031,850,1249,17.18
92,1277,"300 Hayes St, San Francisco, CA",602,"22000 Cameron Street, Castro Valley",3/22/2020 - 3/29/2020,1663,1535,1801,27.72
93,1277,"300 Hayes St, San Francisco, CA",608,"700 11th Street, Oakland",3/22/2020 - 3/29/2020,869,697,1082,14.48
94,1277,"300 Hayes St, San Francisco, CA",609,"700 19th Street, West Oakland, Oakland",3/22/2020 - 3/29/2020,920,746,1133,15.33
95,1277,"300 Hayes St, San Francisco, CA",610,"1600 Webster Street, Downtown, Oakland",3/22/2020 - 3/29/2020,1045,902,1210,17.42
96,1277,"300 Hayes St, San Francisco, CA",624,"3300 Beechwood Drive, Stanley, Lafayette",3/22/2020 - 3/29/2020,1363,1265,1468,22.72
97,1277,"300 Hayes St, San Francisco, CA",627,"800 Marin Road, El Sobrante",3/22/2020 - 3/29/2020,1296,1130,1486,21.6
98,1277,"300 Hayes St, San Francisco, CA",628,"2300 Santa Clara Street, Richmond Annex, Richmond",3/22/2020 - 3/29/2020,973,571,1656,16.22
99,1277,"300 Hayes St, San Francisco, CA",629,"100 Guerrero Street, Mission Dolores, San Francisco",3/22/2020 - 3/29/2020,125,71,218,2.08
100,1277,"300 Hayes St, San Francisco, CA",641,"1400 Jackson Street, Nob Hill, San Francisco",3/22/2020 - 3/29/2020,291,214,394,4.85
101,1277,"300 Hayes St, San Francisco, CA",642,"600 Grant Avenue, Chinatown, San Francisco",3/22/2020 - 3/29/2020,439,360,534,7.32
102,1277,"300 Hayes St, San Francisco, CA",643,"200 Myrtle Street, Tenderloin, San Francisco",3/22/2020 - 3/29/2020,196,121,316,3.27
103,1277,"300 Hayes St, San Francisco, CA",644,"200 Jones Street, Tenderloin, San Francisco",3/22/2020 - 3/29/2020,315,228,433,5.25
