"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Baseline Date Range","Baseline Mean Travel Time (Seconds)","Baseline Range - Lower Bound Travel Time (Seconds)","Baseline Range - Upper Bound Travel Time (Seconds)","Comparison Date Range","Comparison Mean Travel Time (Seconds)","Comparison Range - Lower Bound Travel Time (Seconds)","Comparison Range - Upper Bound Travel Time (Seconds)"
"1277","300 Hayes Street, Civic Center, San Francisco","652","300 Hale Street, Excelsior, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",369,283,481,"3/1/2020 - 3/8/2020, Every day, Daily Average",496,347,708
"1277","300 Hayes Street, Civic Center, San Francisco","653","600 Lisbon Street, Excelsior, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",759,660,872,"3/1/2020 - 3/8/2020, Every day, Daily Average",1053,794,1396
"1277","300 Hayes Street, Civic Center, San Francisco","659","200 Staples Avenue, Outer Mission, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",497,399,617,"3/1/2020 - 3/8/2020, Every day, Daily Average",716,506,1012
"1277","300 Hayes Street, Civic Center, San Francisco","660","1900 Lawton Street, Sunset District, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",600,498,722,"3/1/2020 - 3/8/2020, Every day, Daily Average",831,606,1139
"1277","300 Hayes Street, Civic Center, San Francisco","662","1300 46th Avenue, Sunset District, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",718,641,803,"3/1/2020 - 3/8/2020, Every day, Daily Average",931,734,1180
"1277","300 Hayes Street, Civic Center, San Francisco","663","200 21st Avenue, Central Richmond, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",699,631,773,"3/1/2020 - 3/8/2020, Every day, Daily Average",925,719,1188
"1277","300 Hayes Street, Civic Center, San Francisco","664","700 32nd Avenue, Richmond District, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",644,569,728,"3/1/2020 - 3/8/2020, Every day, Daily Average",859,666,1107
"1277","300 Hayes Street, Civic Center, San Francisco","665","0 Brookdale Avenue, Visitacion Valley, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",705,576,861,"3/1/2020 - 3/8/2020, Every day, Daily Average",1138,806,1606
"1277","300 Hayes Street, Civic Center, San Francisco","666","1200 El Camino Del Mar, Sea Cliff, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",858,762,966,"3/1/2020 - 3/8/2020, Every day, Daily Average",1135,901,1428
"1277","300 Hayes Street, Civic Center, San Francisco","675","200 Oriente Street, Bayshore Heights, Daly City","3/22/2020 - 3/29/2020, Every day, Daily Average",1084,586,2004,"3/1/2020 - 3/8/2020, Every day, Daily Average",1037,722,1488
"1277","300 Hayes Street, Civic Center, San Francisco","676","300 Citrus Avenue, Daly City","3/22/2020 - 3/29/2020, Every day, Daily Average",705,568,874,"3/1/2020 - 3/8/2020, Every day, Daily Average",939,668,1319
"1277","300 Hayes Street, Civic Center, San Francisco","677","0 Ridgefield Avenue, St. Francis, Daly City","3/22/2020 - 3/29/2020, Every day, Daily Average",801,684,937,"3/1/2020 - 3/8/2020, Every day, Daily Average",1097,798,1507
"1277","300 Hayes Street, Civic Center, San Francisco","678","2500 Crestmoor Drive, San Bruno","3/22/2020 - 3/29/2020, Every day, Daily Average",998,777,1280,"3/1/2020 - 3/8/2020, Every day, Daily Average",1245,969,1599
"1277","300 Hayes Street, Civic Center, San Francisco","680","700 South Fremont Street, North Central, San Mateo","3/22/2020 - 3/29/2020, Every day, Daily Average",1210,1041,1406,"3/1/2020 - 3/8/2020, Every day, Daily Average",1536,1179,2000
"1277","300 Hayes Street, Civic Center, San Francisco","682","1300 South Norfolk Street, Shoreview, San Mateo","3/22/2020 - 3/29/2020, Every day, Daily Average",1191,1025,1383,"3/1/2020 - 3/8/2020, Every day, Daily Average",1454,1148,1840
"1277","300 Hayes Street, Civic Center, San Francisco","684","1100 Vailwood Way, South San Mateo, San Mateo","3/22/2020 - 3/29/2020, Every day, Daily Average",1347,1205,1504,"3/1/2020 - 3/8/2020, Every day, Daily Average",1704,1314,2209
"1277","300 Hayes Street, Civic Center, San Francisco","741","1600 San Luis Avenue, Rex Manor, Mountain View","3/22/2020 - 3/29/2020, Every day, Daily Average",2007,1852,2174,"3/1/2020 - 3/8/2020, Every day, Daily Average",2449,1970,3044
"1277","300 Hayes Street, Civic Center, San Francisco","805","1400 San Rafael Street, Estudillo Estates - Glen, San Leandro","3/22/2020 - 3/29/2020, Every day, Daily Average",1364,1266,1468,"3/1/2020 - 3/8/2020, Every day, Daily Average",1646,1293,2093
"1277","300 Hayes Street, Civic Center, San Francisco","808","3000 Adeline Street, Clawson, Oakland","3/22/2020 - 3/29/2020, Every day, Daily Average",742,606,908,"3/1/2020 - 3/8/2020, Every day, Daily Average",1002,723,1387
"1277","300 Hayes Street, Civic Center, San Francisco","809","200 Santa Rosa Avenue, Grand Lake, Oakland","3/22/2020 - 3/29/2020, Every day, Daily Average",831,722,955,"3/1/2020 - 3/8/2020, Every day, Daily Average",1119,814,1536
"1277","300 Hayes Street, Civic Center, San Francisco","810","2700 Pleasant Street, School, Oakland","3/22/2020 - 3/29/2020, Every day, Daily Average",1004,868,1161,"3/1/2020 - 3/8/2020, Every day, Daily Average",1268,945,1699
"1277","300 Hayes Street, Civic Center, San Francisco","812","2000 Francisco Street, North Berkeley, Berkeley","3/22/2020 - 3/29/2020, Every day, Daily Average",1202,1072,1347,"3/1/2020 - 3/8/2020, Every day, Daily Average",1640,1282,2097
"1277","300 Hayes Street, Civic Center, San Francisco","813","2500 Parker Street, Elmwood, Berkeley","3/22/2020 - 3/29/2020, Every day, Daily Average",1196,1077,1327,"3/1/2020 - 3/8/2020, Every day, Daily Average",1587,1217,2068
"1277","300 Hayes Street, Civic Center, San Francisco","814","1400 168th Avenue, San Leandro","3/22/2020 - 3/29/2020, Every day, Daily Average",1571,1439,1714,"3/1/2020 - 3/8/2020, Every day, Daily Average",1867,1446,2410
"1277","300 Hayes Street, Civic Center, San Francisco","817","400 Oxford Way, Belmont","3/22/2020 - 3/29/2020, Every day, Daily Average",1373,1198,1573,"3/1/2020 - 3/8/2020, Every day, Daily Average",1708,1330,2193
"1277","300 Hayes Street, Civic Center, San Francisco","818","700 Bay Road, Staumbaugh Heller, Redwood City","3/22/2020 - 3/29/2020, Every day, Daily Average",1572,1447,1707,"3/1/2020 - 3/8/2020, Every day, Daily Average",1976,1554,2511
"1277","300 Hayes Street, Civic Center, San Francisco","843","2400 Channing Way, Southside, Berkeley","3/22/2020 - 3/29/2020, Every day, Daily Average",1294,1145,1462,"3/1/2020 - 3/8/2020, Every day, Daily Average",1661,1270,2170
"1277","300 Hayes Street, Civic Center, San Francisco","858","600 Geneva Avenue, Outer Mission, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",568,436,739,"3/1/2020 - 3/8/2020, Every day, Daily Average",810,567,1155
"1277","300 Hayes Street, Civic Center, San Francisco","859","2200 24th Avenue, Sunset District, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",880,672,1152,"3/1/2020 - 3/8/2020, Every day, Daily Average",1072,816,1406
"1277","300 Hayes Street, Civic Center, San Francisco","860","2300 Cabrillo Street, Richmond District, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",579,508,659,"3/1/2020 - 3/8/2020, Every day, Daily Average",756,581,983
"1277","300 Hayes Street, Civic Center, San Francisco","866","0 Bernard Street, Nob Hill, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",367,267,502,"3/1/2020 - 3/8/2020, Every day, Daily Average",518,357,750
"1277","300 Hayes Street, Civic Center, San Francisco","867","2200 Post Street, Western Addition, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",279,187,415,"3/1/2020 - 3/8/2020, Every day, Daily Average",371,244,563
"1277","300 Hayes Street, Civic Center, San Francisco","868","500 Diamond Street, Noe Valley, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",595,423,835,"3/1/2020 - 3/8/2020, Every day, Daily Average",668,525,849
"1277","300 Hayes Street, Civic Center, San Francisco","886","4400 Telegraph Avenue, Temescal, Oakland","3/22/2020 - 3/29/2020, Every day, Daily Average",828,659,1039,"3/1/2020 - 3/8/2020, Every day, Daily Average",1112,803,1538
"1277","300 Hayes Street, Civic Center, San Francisco","904","400 North Fernwood Circle, Snail, Sunnyvale","3/22/2020 - 3/29/2020, Every day, Daily Average",2294,2115,2487,"3/1/2020 - 3/8/2020, Every day, Daily Average",2717,2208,3342
"1277","300 Hayes Street, Civic Center, San Francisco","905","1000 Pine Street, Lower Nob Hill, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",300,212,423,"3/1/2020 - 3/8/2020, Every day, Daily Average",429,283,649
"1277","300 Hayes Street, Civic Center, San Francisco","906","2700 Octavia Street, Cow Hollow, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",243,190,309,"3/1/2020 - 3/8/2020, Every day, Daily Average",361,246,527
"1277","300 Hayes Street, Civic Center, San Francisco","907","2500 Turk Street, Richmond District, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",335,255,439,"3/1/2020 - 3/8/2020, Every day, Daily Average",431,317,585
"1277","300 Hayes Street, Civic Center, San Francisco","908","1200 18th Street, Potrero Hill, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",363,277,475,"3/1/2020 - 3/8/2020, Every day, Daily Average",643,449,919
"1277","300 Hayes Street, Civic Center, San Francisco","909","1400 40th Avenue, Sunset District, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",686,586,802,"3/1/2020 - 3/8/2020, Every day, Daily Average",897,682,1179
"1277","300 Hayes Street, Civic Center, San Francisco","910","700 La Playa Street, Richmond District, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",735,642,841,"3/1/2020 - 3/8/2020, Every day, Daily Average",948,740,1213
"1277","300 Hayes Street, Civic Center, San Francisco","915","300 Dolores Way, Sunshine Gardens, South San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",923,830,1025,"3/1/2020 - 3/8/2020, Every day, Daily Average",1221,971,1535
"1277","300 Hayes Street, Civic Center, San Francisco","927","800 Aspen Way, Palo Verde, Palo Alto","3/22/2020 - 3/29/2020, Every day, Daily Average",1961,1813,2121,"3/1/2020 - 3/8/2020, Every day, Daily Average",2327,1899,2851
"1277","300 Hayes Street, Civic Center, San Francisco","950","Old Sled Trail, Bolinas","3/22/2020 - 3/29/2020, Every day, Daily Average",830,617,1115,"3/1/2020 - 3/8/2020, Every day, Daily Average",1026,808,1301
"1277","300 Hayes Street, Civic Center, San Francisco","954","2900 Willow Road, San Pablo","3/22/2020 - 3/29/2020, Every day, Daily Average",1222,1054,1416,"3/1/2020 - 3/8/2020, Every day, Daily Average",1667,1209,2297
"1277","300 Hayes Street, Civic Center, San Francisco","963","600 Sutter Street, Lower Nob Hill, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",279,186,417,"3/1/2020 - 3/8/2020, Every day, Daily Average",434,286,657
"1277","300 Hayes Street, Civic Center, San Francisco","964","2900 Broderick Street, Cow Hollow, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",404,226,719,"3/1/2020 - 3/8/2020, Every day, Daily Average",584,416,818
"1277","300 Hayes Street, Civic Center, San Francisco","965","200 Topeka Avenue, Silver Terrace, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",651,461,917,"3/1/2020 - 3/8/2020, Every day, Daily Average",794,577,1090
"1277","300 Hayes Street, Civic Center, San Francisco","967","1400 32nd Avenue, Sunset District, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",634,537,747,"3/1/2020 - 3/8/2020, Every day, Daily Average",831,632,1092
"1277","300 Hayes Street, Civic Center, San Francisco","968","3200 Anza Street, Richmond District, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",645,560,741,"3/1/2020 - 3/8/2020, Every day, Daily Average",853,663,1096
"1277","300 Hayes Street, Civic Center, San Francisco","983","4100 Fairlands Drive, Pleasanton","3/22/2020 - 3/29/2020, Every day, Daily Average",2291,2132,2461,"3/1/2020 - 3/8/2020, Every day, Daily Average",2583,2123,3141
"1277","300 Hayes Street, Civic Center, San Francisco","1025","Briones to Mount Diablo Regional Trail, Walnut Creek","3/22/2020 - 3/29/2020, Every day, Daily Average",1448,1335,1570,"3/1/2020 - 3/8/2020, Every day, Daily Average",1839,1442,2343
"1277","300 Hayes Street, Civic Center, San Francisco","1030","5300 Lawton Avenue, Shafter, Oakland","3/22/2020 - 3/29/2020, Every day, Daily Average",862,724,1025,"3/1/2020 - 3/8/2020, Every day, Daily Average",1147,855,1537
"1277","300 Hayes Street, Civic Center, San Francisco","1031","1100 Cambridge Drive, Lafayette","3/22/2020 - 3/29/2020, Every day, Daily Average",1288,1188,1396,"3/1/2020 - 3/8/2020, Every day, Daily Average",1682,1296,2182
"1277","300 Hayes Street, Civic Center, San Francisco","1032","Shore Trail, Lafayette","3/22/2020 - 3/29/2020, Every day, Daily Average",1267,1156,1387,"3/1/2020 - 3/8/2020, Every day, Daily Average",1640,1263,2128
"1277","300 Hayes Street, Civic Center, San Francisco","1036","Wilder Road, Wilder, Orinda","3/22/2020 - 3/29/2020, Every day, Daily Average",1119,955,1310,"3/1/2020 - 3/8/2020, Every day, Daily Average",1425,1090,1862
"1277","300 Hayes Street, Civic Center, San Francisco","1038","Kestrel Loop Trail, Rodeo","3/22/2020 - 3/29/2020, Every day, Daily Average",1639,1410,1905,"3/1/2020 - 3/8/2020, Every day, Daily Average",2129,1514,2993
"1277","300 Hayes Street, Civic Center, San Francisco","1045","100 Pearl Street, Oakland Ave - Harrison St, Oakland","3/22/2020 - 3/29/2020, Every day, Daily Average",847,736,974,"3/1/2020 - 3/8/2020, Every day, Daily Average",1139,874,1483
"1277","300 Hayes Street, Civic Center, San Francisco","1046","300 Grand Avenue, Adams Point, Oakland","3/22/2020 - 3/29/2020, Every day, Daily Average",875,747,1024,"3/1/2020 - 3/8/2020, Every day, Daily Average",1159,837,1603
"1277","300 Hayes Street, Civic Center, San Francisco","1047","1700 Eastshore Boulevard, El Cerrito","3/22/2020 - 3/29/2020, Every day, Daily Average",1036,819,1309,"3/1/2020 - 3/8/2020, Every day, Daily Average",1414,1012,1975
"1277","300 Hayes Street, Civic Center, San Francisco","1048","Upper Fire Trail, Berkeley","3/22/2020 - 3/29/2020, Every day, Daily Average",1042,868,1249,"3/1/2020 - 3/8/2020, Every day, Daily Average",1367,1018,1835
"1277","300 Hayes Street, Civic Center, San Francisco","1050","3700 Towns Court, Pinole","3/22/2020 - 3/29/2020, Every day, Daily Average",1367,863,2163,"3/1/2020 - 3/8/2020, Every day, Daily Average",1923,1374,2690
"1277","300 Hayes Street, Civic Center, San Francisco","1053","500 Haddon Road, Cleveland Heights, Oakland","3/22/2020 - 3/29/2020, Every day, Daily Average",910,782,1058,"3/1/2020 - 3/8/2020, Every day, Daily Average",1173,865,1589
"1277","300 Hayes Street, Civic Center, San Francisco","1056","100 Lakeside Drive, Downtown Oakland, Oakland","3/22/2020 - 3/29/2020, Every day, Daily Average",1049,888,1238,"3/1/2020 - 3/8/2020, Every day, Daily Average",1319,965,1802
"1277","300 Hayes Street, Civic Center, San Francisco","1057","6300 Brookside Avenue, Upper Rockridge, Oakland","3/22/2020 - 3/29/2020, Every day, Daily Average",915,776,1078,"3/1/2020 - 3/8/2020, Every day, Daily Average",1218,913,1624
"1277","300 Hayes Street, Civic Center, San Francisco","1059","900 East 22nd Street, Clinton, Oakland","3/22/2020 - 3/29/2020, Every day, Daily Average",1014,871,1179,"3/1/2020 - 3/8/2020, Every day, Daily Average",1207,1017,1431
"1277","300 Hayes Street, Civic Center, San Francisco","1060","3600 East 8th Street, South Kennedy Tract, Oakland","3/22/2020 - 3/29/2020, Every day, Daily Average",1067,885,1286,"3/1/2020 - 3/8/2020, Every day, Daily Average",1311,954,1800
"1277","300 Hayes Street, Civic Center, San Francisco","1063","800 54th Avenue, Coliseum Industrial, Oakland","3/22/2020 - 3/29/2020, Every day, Daily Average",1142,921,1415,"3/1/2020 - 3/8/2020, Every day, Daily Average",1368,994,1881
"1277","300 Hayes Street, Civic Center, San Francisco","1066","7200 Doolittle Drive, Oakland","3/22/2020 - 3/29/2020, Every day, Daily Average",1306,1047,1628,"3/1/2020 - 3/8/2020, Every day, Daily Average",1559,1159,2096
"1277","300 Hayes Street, Civic Center, San Francisco","1068","1600 Poplar Street, West Oakland, Oakland","3/22/2020 - 3/29/2020, Every day, Daily Average",797,670,947,"3/1/2020 - 3/8/2020, Every day, Daily Average",1020,740,1404
"1277","300 Hayes Street, Civic Center, San Francisco","1069","700 Hillside Avenue, Albany","3/22/2020 - 3/29/2020, Every day, Daily Average",932,765,1135,"3/1/2020 - 3/8/2020, Every day, Daily Average",1291,928,1794
"1277","300 Hayes Street, Civic Center, San Francisco","1072","1700 Chestnut Street, Northwest Berkeley, Berkeley","3/22/2020 - 3/29/2020, Every day, Daily Average",978,871,1098,"3/1/2020 - 3/8/2020, Every day, Daily Average",1287,1018,1625
"1277","300 Hayes Street, Civic Center, San Francisco","1074","2300 Ninth Street, Southwest Berkeley, Berkeley","3/22/2020 - 3/29/2020, Every day, Daily Average",935,807,1082,"3/1/2020 - 3/8/2020, Every day, Daily Average",1222,926,1612
"1277","300 Hayes Street, Civic Center, San Francisco","1080","Pier 2, Emeryville","3/22/2020 - 3/29/2020, Every day, Daily Average",727,581,909,"3/1/2020 - 3/8/2020, Every day, Daily Average",942,676,1310
"1277","300 Hayes Street, Civic Center, San Francisco","1082","2000 Clement Avenue, Alameda","3/22/2020 - 3/29/2020, Every day, Daily Average",1167,1080,1260,"3/1/2020 - 3/8/2020, Every day, Daily Average",1408,1082,1831
"1277","300 Hayes Street, Civic Center, San Francisco","1085","22200 Eden Canyon Road, Castro Valley","3/22/2020 - 3/29/2020, Every day, Daily Average",1782,1646,1928,"3/1/2020 - 3/8/2020, Every day, Daily Average",2088,1678,2597
"1277","300 Hayes Street, Civic Center, San Francisco","1087","900 Dowling Boulevard, Broadmoor, San Leandro","3/22/2020 - 3/29/2020, Every day, Daily Average",1325,1224,1434,"3/1/2020 - 3/8/2020, Every day, Daily Average",1635,1259,2121
"1277","300 Hayes Street, Civic Center, San Francisco","1089","1700 Wayne Avenue, Davis Tract, San Leandro","3/22/2020 - 3/29/2020, Every day, Daily Average",1478,1084,2014,"3/1/2020 - 3/8/2020, Every day, Daily Average",1602,1231,2083
"1277","300 Hayes Street, Civic Center, San Francisco","1090","200 Reva Avenue, Davis Tract, San Leandro","3/22/2020 - 3/29/2020, Every day, Daily Average",1439,1060,1952,"3/1/2020 - 3/8/2020, Every day, Daily Average",1544,1216,1959
"1277","300 Hayes Street, Civic Center, San Francisco","1097","15500 Tracy Street, San Lorenzo","3/22/2020 - 3/29/2020, Every day, Daily Average",1528,1381,1689,"3/1/2020 - 3/8/2020, Every day, Daily Average",1930,1455,2560
"1277","300 Hayes Street, Civic Center, San Francisco","1098","600 Elgin Street, San Lorenzo","3/22/2020 - 3/29/2020, Every day, Daily Average",1483,1356,1620,"3/1/2020 - 3/8/2020, Every day, Daily Average",1802,1376,2359
"1277","300 Hayes Street, Civic Center, San Francisco","1099","30600 Palomares Road, Castro Valley","3/22/2020 - 3/29/2020, Every day, Daily Average",1742,1607,1887,"3/1/2020 - 3/8/2020, Every day, Daily Average",2086,1641,2651
"1277","300 Hayes Street, Civic Center, San Francisco","1119","0 Locust Avenue, Larkspur","3/22/2020 - 3/29/2020, Every day, Daily Average",1264,1100,1451,"3/1/2020 - 3/8/2020, Every day, Daily Average",1561,1265,1925
"1277","300 Hayes Street, Civic Center, San Francisco","1120","0 Spindrift Passage, Corte Madera","3/22/2020 - 3/29/2020, Every day, Daily Average",1248,1022,1522,"3/1/2020 - 3/8/2020, Every day, Daily Average",1458,1191,1784
"1277","300 Hayes Street, Civic Center, San Francisco","1121","300 Ridgewood Avenue, Mill Valley","3/22/2020 - 3/29/2020, Every day, Daily Average",1048,796,1379,"3/1/2020 - 3/8/2020, Every day, Daily Average",1242,1031,1494
"1277","300 Hayes Street, Civic Center, San Francisco","1211","700 Coleman Avenue, Menlo Park","3/22/2020 - 3/29/2020, Every day, Daily Average",1785,1656,1923,"3/1/2020 - 3/8/2020, Every day, Daily Average",2212,1770,2763
"1277","300 Hayes Street, Civic Center, San Francisco","1244","800 Jackson Street, Chinatown, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",430,334,552,"3/1/2020 - 3/8/2020, Every day, Daily Average",704,490,1010
"1277","300 Hayes Street, Civic Center, San Francisco","1245","500 Geary Street, Tenderloin, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",274,200,374,"3/1/2020 - 3/8/2020, Every day, Daily Average",420,278,634
"1277","300 Hayes Street, Civic Center, San Francisco","1246","300 McAllister Street, Civic Center, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",104,51,209,"3/1/2020 - 3/8/2020, Every day, Daily Average",138,63,302
"1277","300 Hayes Street, Civic Center, San Francisco","1247","100 Magnolia Street, Marina District, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",297,228,385,"3/1/2020 - 3/8/2020, Every day, Daily Average",424,293,613
"1277","300 Hayes Street, Civic Center, San Francisco","1257","2400 Octavia Street, Pacific Heights, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",177,131,238,"3/1/2020 - 3/8/2020, Every day, Daily Average",266,170,414
"1277","300 Hayes Street, Civic Center, San Francisco","1258","2600 Broadway, Pacific Heights, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",378,275,519,"3/1/2020 - 3/8/2020, Every day, Daily Average",548,375,798
"1277","300 Hayes Street, Civic Center, San Francisco","1259","2100 Divisadero Street, Pacific Heights, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",385,301,491,"3/1/2020 - 3/8/2020, Every day, Daily Average",521,378,716
"1277","300 Hayes Street, Civic Center, San Francisco","1260","1800 Scott Street, Western Addition, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",323,237,438,"3/1/2020 - 3/8/2020, Every day, Daily Average",452,318,642
"1277","300 Hayes Street, Civic Center, San Francisco","1261","700 Presidio Avenue, Western Addition, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",410,319,525,"3/1/2020 - 3/8/2020, Every day, Daily Average",528,388,717
"1277","300 Hayes Street, Civic Center, San Francisco","1265","0 Stoneybrook Avenue, Excelsior, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",435,309,610,"3/1/2020 - 3/8/2020, Every day, Daily Average",610,433,857
"1277","300 Hayes Street, Civic Center, San Francisco","1271","200 Bacon Street, Excelsior, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",398,303,521,"3/1/2020 - 3/8/2020, Every day, Daily Average",530,373,752
"1277","300 Hayes Street, Civic Center, San Francisco","1272","500 Moscow Street, Excelsior, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",666,592,748,"3/1/2020 - 3/8/2020, Every day, Daily Average",981,748,1286
"1277","300 Hayes Street, Civic Center, San Francisco","1273","200 Naglee Avenue, Outer Mission, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",570,467,694,"3/1/2020 - 3/8/2020, Every day, Daily Average",801,569,1125
"1277","300 Hayes Street, Civic Center, San Francisco","1275","0 McLaren Avenue, Sea Cliff, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",834,637,1091,"3/1/2020 - 3/8/2020, Every day, Daily Average",1006,774,1306
"1277","300 Hayes Street, Civic Center, San Francisco","1276","1100 Golden Gate Avenue, Western Addition, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",171,82,354,"3/1/2020 - 3/8/2020, Every day, Daily Average",192,92,399
"1277","300 Hayes Street, Civic Center, San Francisco","1278","100 Noe Street, The Castro, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",257,182,361,"3/1/2020 - 3/8/2020, Every day, Daily Average",321,221,464
"1277","300 Hayes Street, Civic Center, San Francisco","1279","1100 Folsom Street, South of Market, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",239,141,403,"3/1/2020 - 3/8/2020, Every day, Daily Average",296,183,478
"1277","300 Hayes Street, Civic Center, San Francisco","1280","300 Church Street, Mission District, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",276,194,392,"3/1/2020 - 3/8/2020, Every day, Daily Average",353,245,507
"1277","300 Hayes Street, Civic Center, San Francisco","1281","700 Guerrero Street, Mission Dolores, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",320,238,429,"3/1/2020 - 3/8/2020, Every day, Daily Average",445,327,604
"1277","300 Hayes Street, Civic Center, San Francisco","1282","1600 Church Street, Noe Valley, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",625,473,825,"3/1/2020 - 3/8/2020, Every day, Daily Average",790,612,1019
"1277","300 Hayes Street, Civic Center, San Francisco","1291","1500 Balboa Street, Richmond District, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",544,438,675,"3/1/2020 - 3/8/2020, Every day, Daily Average",723,541,964
"1277","300 Hayes Street, Civic Center, San Francisco","1292","1300 Wright Loop, Presidio, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",629,499,792,"3/1/2020 - 3/8/2020, Every day, Daily Average",823,605,1118
"1277","300 Hayes Street, Civic Center, San Francisco","1293","400 Moraga Street, Sunset District, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",577,481,692,"3/1/2020 - 3/8/2020, Every day, Daily Average",777,573,1051
"1277","300 Hayes Street, Civic Center, San Francisco","1294","600 Panorama Drive, Midtown Terrace, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",672,548,823,"3/1/2020 - 3/8/2020, Every day, Daily Average",926,717,1195
"1277","300 Hayes Street, Civic Center, San Francisco","1295","0 Avoca Alley, West of Twin Peaks, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",655,522,821,"3/1/2020 - 3/8/2020, Every day, Daily Average",1061,790,1424
"1277","300 Hayes Street, Civic Center, San Francisco","1296","1300 22nd Avenue, Sunset District, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",541,453,645,"3/1/2020 - 3/8/2020, Every day, Daily Average",739,544,1003
"1277","300 Hayes Street, Civic Center, San Francisco","1297","100 Font Boulevard, Lakeshore, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",851,669,1082,"3/1/2020 - 3/8/2020, Every day, Daily Average",1172,867,1582
"1277","300 Hayes Street, Civic Center, San Francisco","1298","200 3rd Avenue, Richmond District, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",511,436,598,"3/1/2020 - 3/8/2020, Every day, Daily Average",665,509,868
"1277","300 Hayes Street, Civic Center, San Francisco","1299","8700 Mission Rock Street, South of Market, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",382,279,522,"3/1/2020 - 3/8/2020, Every day, Daily Average",576,398,831
"1277","300 Hayes Street, Civic Center, San Francisco","1300","200 John F Kennedy Drive, Golden Gate Park, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",288,200,413,"3/1/2020 - 3/8/2020, Every day, Daily Average",409,256,652
"1277","300 Hayes Street, Civic Center, San Francisco","1302","Tasman Drive, Santa Clara","3/22/2020 - 3/29/2020, Every day, Daily Average",2347,2119,2598,"3/1/2020 - 3/8/2020, Every day, Daily Average",2892,2297,3640
"1277","300 Hayes Street, Civic Center, San Francisco","1304","2300 Lafayette Street, Santa Clara","3/22/2020 - 3/29/2020, Every day, Daily Average",2488,2214,2795,"3/1/2020 - 3/8/2020, Every day, Daily Average",2960,2389,3666
