"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"1277","300 Hayes Street, Civic Center, San Francisco","2","400 Northumberland Avenue, Redwood Oaks, Redwood City","3/1/2020 - 3/8/2020, Every day, Daily Average",2080,1722,2511
"1277","300 Hayes Street, Civic Center, San Francisco","9","500 Hyde Street, Tenderloin, San Francisco","3/1/2020 - 3/8/2020, Every day, Daily Average",342,222,525
"1277","300 Hayes Street, Civic Center, San Francisco","20","900 Sutter Street, Lower Nob Hill, San Francisco","3/1/2020 - 3/8/2020, Every day, Daily Average",315,194,509
"1277","300 Hayes Street, Civic Center, San Francisco","21","3400 Pierce Street, Marina District, San Francisco","3/1/2020 - 3/8/2020, Every day, Daily Average",623,458,845
"1277","300 Hayes Street, Civic Center, San Francisco","30","2200 Central Avenue, Alameda","3/1/2020 - 3/8/2020, Every day, Daily Average",1515,1161,1975
"1277","300 Hayes Street, Civic Center, San Francisco","44","1700 Egbert Avenue, Bayview, San Francisco","3/1/2020 - 3/8/2020, Every day, Daily Average",861,596,1243
"1277","300 Hayes Street, Civic Center, San Francisco","46","500 Chester Street, West Oakland, Oakland","3/1/2020 - 3/8/2020, Every day, Daily Average",995,729,1356
"1277","300 Hayes Street, Civic Center, San Francisco","57","1700 Bayo Vista Avenue, San Pablo","3/1/2020 - 3/8/2020, Every day, Daily Average",1635,1177,2270
"1277","300 Hayes Street, Civic Center, San Francisco","58","5600 Genoa Street, Santa Fe, Oakland","3/1/2020 - 3/8/2020, Every day, Daily Average",1433,982,2089
"1277","300 Hayes Street, Civic Center, San Francisco","60","33900 Emilia Lane, Ardenwood, Fremont","3/1/2020 - 3/8/2020, Every day, Daily Average",2472,1961,3115
"1277","300 Hayes Street, Civic Center, San Francisco","61","5400 Ridgewood Drive, Ardenwood, Fremont","3/1/2020 - 3/8/2020, Every day, Daily Average",2414,2018,2886
"1277","300 Hayes Street, Civic Center, San Francisco","78","1400 Thomas Avenue, Bayview, San Francisco","3/1/2020 - 3/8/2020, Every day, Daily Average",1016,716,1441
"1277","300 Hayes Street, Civic Center, San Francisco","79","1500 California Street, Polk Gulch, San Francisco","3/1/2020 - 3/8/2020, Every day, Daily Average",360,226,571
"1277","300 Hayes Street, Civic Center, San Francisco","80","0 Farren Street, Western Addition, San Francisco","3/1/2020 - 3/8/2020, Every day, Daily Average",353,247,503
"1277","300 Hayes Street, Civic Center, San Francisco","81","0 Berkeley Way, Diamond Heights, San Francisco","3/1/2020 - 3/8/2020, Every day, Daily Average",961,762,1211
"1277","300 Hayes Street, Civic Center, San Francisco","82","2700 25th Street, Mission District, San Francisco","3/1/2020 - 3/8/2020, Every day, Daily Average",418,284,614
"1277","300 Hayes Street, Civic Center, San Francisco","87","2200 Wyandotte Street, Mountain View","3/1/2020 - 3/8/2020, Every day, Daily Average",2438,1927,3083
"1277","300 Hayes Street, Civic Center, San Francisco","90","300 Heathcliff Drive, Westview, Pacifica","3/1/2020 - 3/8/2020, Every day, Daily Average",1287,982,1686
"1277","300 Hayes Street, Civic Center, San Francisco","91","700 Industrial Road, San Carlos","3/1/2020 - 3/8/2020, Every day, Daily Average",1797,1398,2309
"1277","300 Hayes Street, Civic Center, San Francisco","96","2200 Bonar Street, Poets Corner, Berkeley","3/1/2020 - 3/8/2020, Every day, Daily Average",1331,1027,1723
"1277","300 Hayes Street, Civic Center, San Francisco","98","500 10th Street, Downtown Oakland, Oakland","3/1/2020 - 3/8/2020, Every day, Daily Average",1082,782,1495
"1277","300 Hayes Street, Civic Center, San Francisco","102","500 Mount Street, East Richmond, Richmond","3/1/2020 - 3/8/2020, Every day, Daily Average",1545,1098,2172
"1277","300 Hayes Street, Civic Center, San Francisco","103","35500 Ebro Court, Centerville, Fremont","3/1/2020 - 3/8/2020, Every day, Daily Average",2756,2107,3603
"1277","300 Hayes Street, Civic Center, San Francisco","104","4300 Baine Avenue, Centerville, Fremont","3/1/2020 - 3/8/2020, Every day, Daily Average",2814,2096,3777
"1277","300 Hayes Street, Civic Center, San Francisco","108","400 West Sunset Boulevard, Hayward","3/1/2020 - 3/8/2020, Every day, Daily Average",1934,1487,2514
"1277","300 Hayes Street, Civic Center, San Francisco","113","1200 Hayes Street, Western Addition, San Francisco","3/1/2020 - 3/8/2020, Every day, Daily Average",194,124,302
"1277","300 Hayes Street, Civic Center, San Francisco","117","100 Edgemar Street, Crocker, Daly City","3/1/2020 - 3/8/2020, Every day, Daily Average",1177,917,1510
"1277","300 Hayes Street, Civic Center, San Francisco","123","20000 Merritt Drive, Cupertino","3/1/2020 - 3/8/2020, Every day, Daily Average",3111,2606,3713
"1277","300 Hayes Street, Civic Center, San Francisco","127","2000 Waverley Street, Old Palo Alto, Palo Alto","3/1/2020 - 3/8/2020, Every day, Daily Average",2307,1948,2732
"1277","300 Hayes Street, Civic Center, San Francisco","138","0 Maria Drive, Petaluma","3/1/2020 - 3/8/2020, Every day, Daily Average",2730,2490,2993
"1277","300 Hayes Street, Civic Center, San Francisco","151","500 20th Street, Downtown Oakland, Oakland","3/1/2020 - 3/8/2020, Every day, Daily Average",1190,934,1515
"1277","300 Hayes Street, Civic Center, San Francisco","153","400 Giannini Drive, Santa Clara","3/1/2020 - 3/8/2020, Every day, Daily Average",3230,2694,3871
"1277","300 Hayes Street, Civic Center, San Francisco","155","400 North Mary Avenue, Sunnyvale West, Sunnyvale","3/1/2020 - 3/8/2020, Every day, Daily Average",2844,2209,3660
"1277","300 Hayes Street, Civic Center, San Francisco","165","2200 Franklin Street, Pacific Heights, San Francisco","3/1/2020 - 3/8/2020, Every day, Daily Average",293,198,433
"1277","300 Hayes Street, Civic Center, San Francisco","176","500 Hull Avenue, Central San Jose, San Jose","3/1/2020 - 3/8/2020, Every day, Daily Average",3480,2843,4259
"1277","300 Hayes Street, Civic Center, San Francisco","181","3400 Richmond Boulevard, Oakland Ave - Harrison St, Oakland","3/1/2020 - 3/8/2020, Every day, Daily Average",1128,815,1560
"1277","300 Hayes Street, Civic Center, San Francisco","184","0 South Almaden Boulevard, Central San Jose, San Jose","3/1/2020 - 3/8/2020, Every day, Daily Average",3469,2759,4360
"1277","300 Hayes Street, Civic Center, San Francisco","186","1800 Vicente Street, Sunset District, San Francisco","3/1/2020 - 3/8/2020, Every day, Daily Average",1276,992,1641
"1277","300 Hayes Street, Civic Center, San Francisco","194","600 Aileen Street, Upper Telegraph, Oakland","3/1/2020 - 3/8/2020, Every day, Daily Average",1331,955,1853
"1277","300 Hayes Street, Civic Center, San Francisco","206","1300 15th Street, Mission District, San Francisco","3/1/2020 - 3/8/2020, Every day, Daily Average",283,179,446
"1277","300 Hayes Street, Civic Center, San Francisco","207","1100 Guerrero Street, Mission District, San Francisco","3/1/2020 - 3/8/2020, Every day, Daily Average",633,481,832
"1277","300 Hayes Street, Civic Center, San Francisco","208","600 Alabama Street, Mission District, San Francisco","3/1/2020 - 3/8/2020, Every day, Daily Average",467,341,638
"1277","300 Hayes Street, Civic Center, San Francisco","209","300 Wilde Avenue, Visitacion Valley, San Francisco","3/1/2020 - 3/8/2020, Every day, Daily Average",585,419,815
"1277","300 Hayes Street, Civic Center, San Francisco","210","100 Ramsell Street, Oceanview, San Francisco","3/1/2020 - 3/8/2020, Every day, Daily Average",868,621,1213
"1277","300 Hayes Street, Civic Center, San Francisco","211","200 16th Avenue, Richmond District, San Francisco","3/1/2020 - 3/8/2020, Every day, Daily Average",885,669,1170
"1277","300 Hayes Street, Civic Center, San Francisco","212","500 Washington Street, Financial District, San Francisco","3/1/2020 - 3/8/2020, Every day, Daily Average",772,542,1098
"1277","300 Hayes Street, Civic Center, San Francisco","216","3700 Lake Ontario Drive, Lakes and Birds, Fremont","3/1/2020 - 3/8/2020, Every day, Daily Average",2256,1897,2682
"1277","300 Hayes Street, Civic Center, San Francisco","232","1000 Beech Street, East Palo Alto","3/1/2020 - 3/8/2020, Every day, Daily Average",2218,1761,2793
"1277","300 Hayes Street, Civic Center, San Francisco","233","County Jail Road, San Bruno","3/1/2020 - 3/8/2020, Every day, Daily Average",1471,1171,1847
